author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
3278147418.0,2022-10-06 01:48:35+00:00, ,1.58e+18,en,0,0,0,0,Twitter for Android,"@EmiratesSupport Thanks for the support, hope it will get resolved asap :)"
130448008.0,2022-10-06 02:34:23+00:00, ,1.58e+18,en,0,0,1,0,Twitter for iPhone,@EmiratesSupport Have replied to message. Please check
169334926.0,2022-10-06 04:37:50+00:00, ,1.58e+18,en,0,0,0,0,Twitter Web App,@EmiratesSupport @EmiratesSupport i have DM'd u. but no one seems to reply.  can u please help in this regard?
485533631.0,2022-10-06 04:41:22+00:00, ,1.58e+18,en,0,0,1,0,Twitter for iPhone,@EmiratesSupport sent you a dm Janine
65564223.0,2022-10-06 06:29:02+00:00, ,1.58e+18,en,0,0,1,0,Twitter for iPhone,@EmiratesSupport I have been mailing for flight delay compensation but no one is responding till now. Please let me know  when can I get a proper reply.
817954987.0,2022-10-06 09:48:29+00:00, ,1.58e+18,en,0,0,1,0,Twitter Web App,"@EmiratesSupport Hi, we are flying economy from LGW to DXB on 15th October. What are our luggage allowances? Your website says 23kg hold + 7kg in the cabin. My ticket from you just says 30kg with no reference to either hold or cabin and my ticket from my TA says 20kg. Thanks"
7.45e+17,2022-10-06 10:23:40+00:00, ,1.58e+18,en,0,0,0,0,Twitter for iPhone,@EmiratesSupport That’s great 30 working days when I needed assistance almost a week ago!
1.36e+18,2022-10-06 10:40:59+00:00, ,1.58e+18,en,0,0,2,0,Twitter for iPhone,"@EmiratesSupport clearly whoever was investigating the complaint doesn’t really comprehend what has happened. Passenger denied boarding reason no transit visa for Dublin to enter the UK.
Dublin immigration has confirmed in writing no transit visa required. Joke"
1.45e+18,2022-10-06 10:44:50+00:00, ,1.58e+18,en,1,0,0,0,Twitter Web App,@EmiratesSupport thanks for the reply @EmiratesSupport !
87455130.0,2022-10-06 10:58:18+00:00, ,1.58e+18,en,0,0,0,0,Twitter for iPhone,@EmiratesSupport what a joke 3 weeks trying to speak to someone. You can get through if you want to book a new holiday no bother. 🙄 customer service non existent. Shocking !
87455130.0,2022-10-06 11:11:11+00:00, ,1.58e+18,en,0,0,0,0,Twitter for iPhone,@EmiratesSupport With more empty promises 🙈🙄
150714612.0,2022-10-06 12:56:00+00:00, ,1.58e+18,en,0,0,0,0,Twitter for iPhone,@EmiratesSupport can you provide me with a number that I can call in the UK to query why my flight has been changed and why I wasn’t notified about this?! Very unimpressed!
2217852890.0,2022-10-06 13:53:49+00:00, ,1.58e+18,en,0,0,0,0,Twitter for iPhone,"@EmiratesSupport You told me to contact Rome FCO airport to collect my backpack from Lost and Found. Now, they told me to hire my own courier service but DHL refuses to collect from the airport. I am willing to bear the charges but I need my backpack from Rome in New Delhi!!"
87455130.0,2022-10-06 14:46:09+00:00, ,1.58e+18,en,0,0,0,0,Twitter for iPhone,@EmiratesSupport An automated message is NOT a reply.
87455130.0,2022-10-06 14:46:47+00:00, ,1.58e+18,en,0,0,0,0,Twitter for iPhone,@EmiratesSupport is there anybody there ?
485533631.0,2022-10-06 15:12:38+00:00, ,1.58e+18,en,0,0,0,0,Twitter for iPhone,@EmiratesSupport I sent a dm nearly 12 hours got a generic reply? Please respond!
1.48e+18,2022-10-06 15:39:46+00:00, ,1.58e+18,en,0,0,2,0,Twitter for Android,"@EmiratesSupport @emirates can you advise why we are now being quote £900+ for a room which, when we booked were told was included? https://t.co/tbMzz3bONr"
