,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
0,1544151176,2022-10-12 11:17:35+00:00, ,1.58016E+18,en,0,0,0,0,Twitter for Android,@EmiratesSupport Thank you for your quick response. I have sent the required information.
1,128183810,2022-10-12 11:14:33+00:00, ,1.58015E+18,en,0,0,0,1,Twitter for Android,RT @smartykapu: @EmiratesSupport We have already Send our formal complaint.. Waiting for your revert..
2,66006408,2022-10-12 10:56:58+00:00, ,1.58015E+18,en,0,0,0,0,Twitter for iPhone,"@EmiratesSupport So being silver member where I have complimentary seat selection, I am restricted to select seats? https://t.co/FLVE2Xu3uY"
3,304316064,2022-10-12 10:26:11+00:00, ,1.58014E+18,en,1,1,0,0,Twitter for Android,"@EmiratesSupport @emirates have attempted booking a flight online 3x- all transactions showing up as ""failed"" on the website however it has been charged to the account? Please help"
4,1.16525E+18,2022-10-12 10:01:02+00:00, ,1.58014E+18,en,0,0,0,0,Twitter for Android,@EmiratesSupport did thanks
5,435665635,2022-10-12 09:56:40+00:00, ,1.58014E+18,en,0,0,1,0,Twitter for iPhone,"@EmiratesSupport extremely disappointed by the poor customer service offered by Emirates.
Response time and lack of communication is appalling. Perhaps you could DM me to help rectify this."
6,396047296,2022-10-12 08:49:13+00:00, ,1.58012E+18,en,0,0,0,0,Twitter for iPhone,@EmiratesSupport Please reply to DM
7,583210050,2022-10-12 08:49:11+00:00, ,1.58012E+18,en,0,0,1,0,Twitter for Android,"@EmiratesSupport Hi, can you please help me, Andrijana on WhatsApp support is not listening to what I am trying to tell her and being very unhelpful. I've been travelling 20+ hours and I'm tired! Can I speak to someone helpful please?! 🙏🏾"
8,396047296,2022-10-12 08:48:27+00:00, ,1.58012E+18,en,0,0,0,0,Twitter for iPhone,"@EmiratesSupport Please reply, the complaint was uploaded two months ago and no response"
9,44048805,2022-10-12 08:38:48+00:00, ,1.58012E+18,en,0,0,0,0,Twitter for iPhone,"@EmiratesSupport Hi Ive already submitted on the night of my arrival, I still have not received any reply."
10,19555252,2022-10-12 07:28:51+00:00, ,1.5801E+18,en,0,0,0,0,Twitter for iPhone,@EmiratesSupport Thank you
11,134525908,2022-10-12 06:07:29+00:00,70957ac3123b3249,1.58008E+18,en,0,0,0,0,Twitter for iPhone,"@EmiratesSupport Hello team, I have just received an acknowledgment on email. That’s all. No further details from your team yet. I know you will be handling thousands of such issues but can you please hint on a rough timeline when my case will be resolved. Thanks 🙏🏻"
12,175415017,2022-10-12 05:11:13+00:00, ,1.58006E+18,en,0,0,0,0,Twitter for Android,"@EmiratesSupport 
I am planning to travel from Johannesburg,SA to Hyderabad, India and I am vaccinated. 
Can you please confirm still require covid test for my Travel"
13,1.57982E+18,2022-10-12 01:15:09+00:00, ,1.58E+18,en,0,0,0,0,Twitter Web App,"@EmiratesSupport Thanks for replying! I went to the link you shared and it took me to the help webpage but with no option to send a DM. There’s options like baggage, Dubai connect etc. How do I send you the info requested?"
14,1.06613E+18,2022-10-11 23:51:44+00:00, ,1.57998E+18,en,0,0,1,0,Twitter Web App,@EmiratesSupport extremely poor service….. nit going to recommend anyone instead discourage everyone from flying Emirates in future
15,1.06613E+18,2022-10-11 23:50:47+00:00, ,1.57998E+18,en,0,0,0,0,Twitter Web App,@EmiratesSupport how can you not have charging points especially when it is known that T2 of dubai airport has disabled charging points all over
16,1.06613E+18,2022-10-11 23:49:41+00:00, ,1.57998E+18,en,0,0,0,0,Twitter Web App,@EmiratesSupport where was the ‘luxury’ experience that emirates promises? It was as if they decided to send us back in their oldest ever aircraft
17,1.06613E+18,2022-10-11 23:48:28+00:00, ,1.57998E+18,en,0,0,0,0,Twitter Web App,@EmiratesSupport pathetic experience on return flight EK -2124 from Dubai to New Delhi at 22:15 pm on 9 oct…. Flight was delayed… had no charger… no inhouse entertainment device.. no blankets…food was worse than domestic airlines
18,1.4353E+18,2022-10-11 23:10:35+00:00, ,1.57997E+18,en,1,0,2,0,Twitter Web App,@EmiratesSupport need help getting into skywards account
19,1.00713E+18,2022-10-11 22:53:10+00:00, ,1.57997E+18,en,0,0,0,0,Twitter for Android,@EmiratesSupport sorry to say what it mean emirates support for what when people ask help from ground staff they didn't in which dept of emirates I had send emails tweet when arrive on 27th Feb 2019 duty manager ground staff from hyd to dubai no one help till today even ceo also
20,1.49908E+18,2022-10-11 18:49:40+00:00, ,1.57991E+18,en,0,0,0,0,Twitter Web App,@EmiratesSupport @emirates worst customer service of any airline I have dealt with. No answers on refund request for delayed and lost baggage. Filing a complaint with the Department of Transportation next if no response.
21,1.16525E+18,2022-10-11 16:29:25+00:00, ,1.57987E+18,en,0,0,1,0,Twitter for Android,@EmiratesSupport I emailed my complaint a couple of times with no successful reply
22,392343143,2022-10-11 13:48:40+00:00, ,1.57983E+18,en,0,0,2,0,Twitter for iPhone,"@EmiratesSupport hi, your pet form wasn’t working online. Can you transport a small cat on the Dubai-Yangon route operated by Emirates and Bangkok Airlines? Thanks"
23,1.57982E+18,2022-10-11 13:30:55+00:00, ,1.57983E+18,en,1,0,0,0,Twitter Web App,"@EmiratesSupport I’m a caregiver to my elderly sick mom who has cancer. Her wish is to do Umrah. To fly she needs a lay flat seat cuz she’s always in pain, tired &amp; needs to lie down. Need help getting an affordable lay flat seat in Business/First Class to get to Mecca. Expensive"
24,3397083453,2022-10-11 12:20:21+00:00, ,1.57981E+18,en,0,0,1,0,Twitter Web App,@EmiratesSupport PLEASE would someone answer the phone in London????  I have been on hold for TOOOO LONG!!!
25,1.05557E+18,2022-10-11 12:08:31+00:00, ,1.57981E+18,en,0,0,1,0,Twitter Web App,"@EmiratesSupport  
Hi, just wondering how much does Emirates charge for extra luggage per kg. I am traveling from Chennai to Ireland."
26,1544151176,2022-10-11 11:06:26+00:00, ,1.57979E+18,en,0,0,1,0,Twitter for Android,@EmiratesSupport Hi. I tried to join your skywards program but filled in my name incorrectly and can't change it. I was told to use Live Chat but have been trying for almost 2 months and it is always busy and telling me to come back later and try again. Help please.
27,1.57978E+18,2022-10-11 10:44:37+00:00, ,1.57979E+18,en,0,0,0,0,Twitter for iPhone,@EmiratesSupport Hi I have a Partner Visa from UAQ FTZ. What is the new time limit to stay out of UAE for such Visa holders?
28,150044714,2022-10-11 09:56:20+00:00, ,1.57977E+18,en,0,0,1,0,Twitter for Android,@EmiratesSupport have submitted 2 complaints since the start of October. Any chance someone could respond to these emails?
29,2937665027,2022-10-11 08:40:56+00:00, ,1.57975E+18,en,0,0,1,0,Twitter for iPhone,"@EmiratesSupport  @DubaiAirports 65 days since my luggage is missing. Actually not missing, it has been located in @MumbaiAirport a month ago - instead of being sent to Kabul. Funny story - no one in @Emirates or in @Marhaba wants to take responsibility for the mistake https://t.co/GdIcXjDbM4"
30,136268587,2022-10-11 08:35:31+00:00, ,1.57975E+18,en,0,0,1,0,Twitter for iPhone,@EmiratesSupport @emirates  I asked for Fragile sticker and ended with this. Despite official complaint and follow up for 18 days there is no resolution timeline and not even single follow up call. This is way below expectations. https://t.co/gCPzWkeHJf
31,57622123,2022-10-11 08:19:58+00:00, ,1.57975E+18,en,0,0,1,0,Twitter for Android,@EmiratesSupport The reply is useless I cannot submit the form. I paid over £3000 for my ticket and was delayed over 24 hours.. what characters are not acceptable 🤷‍♀️ https://t.co/ExdzMyujgU
32,1.0623E+18,2022-10-11 08:04:14+00:00, ,1.57974E+18,en,0,0,0,1,FDC TWEET MACHINE,RT @fatman73: @EmiratesSupport @emirates @EmiratesSupport ticket cancelled on 07th Oct. Still no word from @emirates on refund amount and r…
33,73192975,2022-10-11 07:59:43+00:00, ,1.57974E+18,en,0,0,0,0,Twitter for iPhone,@EmiratesSupport See you this Friday for the return trip back. 🙂
34,2428570195,2022-10-11 06:27:45+00:00, ,1.57972E+18,en,0,0,1,0,Twitter Web App,"@EmiratesSupport Finally, almost 45 days after my bag was broken, I have an answer: please, wait 20 days more for a ""personalise response"". Seriously? @EmiratesSupport @emirates @facua https://t.co/UQmSUTN443"
35,1.51479E+18,2022-10-11 06:00:02+00:00, ,1.57971E+18,en,0,0,0,0,Twitter Web App,@EmiratesSupport I have now given up.  Possibly easy to take this to a small claims court when I return to Australia
36,1377246354,2022-10-10 23:32:26+00:00, ,1.57962E+18,en,0,0,0,0,Twitter for iPhone,@EmiratesSupport I have shared details in ur DM
37,1.43841E+18,2022-10-10 22:19:46+00:00, ,1.5796E+18,en,0,0,0,0,Twitter for Android,@EmiratesSupport I booked my flight from HYD-EWR for 3rd Nov using Student offer... I just wanted to know if I can merge the extra 10kg baggage allowance as per student offer in the luggage itself or do I need to carry an extra baggage of 10kg separately. Please reply!
38,1.49982E+18,2022-10-10 19:40:37+00:00, ,1.57956E+18,en,0,0,1,0,Twitter Web App,@EmiratesSupport Please respond to the DM
39,1.35886E+18,2022-10-10 19:32:43+00:00, ,1.57956E+18,en,0,0,0,0,Twitter for iPhone,@EmiratesSupport no one is replying..
40,1.35886E+18,2022-10-10 19:11:05+00:00, ,1.57955E+18,en,0,0,1,0,Twitter for iPhone,@EmiratesSupport please help I’m trying to upgrade my ticket and it’s not working!!
41,9.48191E+17,2022-10-10 19:03:14+00:00, ,1.57955E+18,en,0,0,0,0,Twitter for iPhone,@EmiratesSupport hi i have flight with reservation number #n83pms and i would like to modify the trip but i couldn’t from the apps so would u please help me on this
42,128183810,2022-10-10 18:12:30+00:00,7929cea6bd5b32bd,1.57954E+18,en,0,0,0,0,Twitter for Android,@EmiratesSupport waiting for your reply.. https://t.co/7fuPlutVcw
43,1.57626E+18,2022-10-10 17:49:46+00:00,1892c7261e52d39b,1.57953E+18,en,0,0,0,0,Twitter for iPhone,@EmiratesSupport With another pointless reply.
44,41884944,2022-10-10 17:16:19+00:00, ,1.57952E+18,en,0,0,1,0,Twitter Web App,@EmiratesSupport unable to redeem miles from my family account. can anyone help?
45,1.05628E+18,2022-10-10 17:13:02+00:00, ,1.57952E+18,en,0,0,0,0,Twitter for Android,"@EmiratesSupport DM'd all the necessary details.

Can I assume you won't ignore me for 2 months?"
46,1.49982E+18,2022-10-10 16:43:36+00:00, ,1.57951E+18,en,0,0,0,0,Twitter Web App,@EmiratesSupport I have DM you my details. Please look into it.
47,854348276,2022-10-10 16:42:18+00:00, ,1.57951E+18,en,1,0,0,0,Twitter for iPhone,"@EmiratesSupport @emirates can you please offer a solution, as I have paid for a meal and would like to enjoy one. https://t.co/5EZikn7T6D"
48,377522478,2022-10-10 15:46:06+00:00, ,1.5795E+18,en,0,0,1,0,Twitter for iPhone,@EmiratesSupport how do I retrieve a 72 hour held booking?
49,1.23505E+18,2022-10-10 14:04:55+00:00, ,1.57947E+18,en,0,0,0,0,Twitter for iPhone,"@EmiratesSupport still waiting since Friday afternoon to hear back from you baggage department in Bkk. I guess they are hoping I will just forget about this. THB1200 to replace a 6 month old suitcase which your handlers made unusable.
Worlds #1 airline, seriously ?? https://t.co/7NdDAZJINr"
50,56074476,2022-10-10 12:19:28+00:00, ,1.57945E+18,en,0,0,1,0,Twitter Web App,"@EmiratesSupport Are these apps needed to onboard flight for Dubai from India or are these needed thereafter in Dubai?

ALHOSN app and DXB Smart App

Asking since DXB Smart is not working."
51,16106460,2022-10-10 11:50:16+00:00, ,1.57944E+18,en,0,0,1,0,Twitter for Android,"@EmiratesSupport hi, If I only need to change flights in the airport and never leave the airport. I still need to apply for a transit visa?"
52,2349433324,2022-10-10 11:37:09+00:00, ,1.57944E+18,en,0,0,1,0,Twitter for iPhone,@EmiratesSupport Tried all morning to contact booking line to upgrade my holiday package. But call keeps hanging up..! How do I contact you??
53,8.37792E+17,2022-10-10 11:25:30+00:00,1b66f15d4efa136f,1.57943E+18,en,0,0,0,0,Twitter for Android,"@EmiratesSupport I know all this. And this is why I am asking why on Thursday 6th October Flight  EK346 I was made to wear a mask from Dubai to Malaysia. When Malaysia has no mask rules. The staff said, ""this flight you have to."" why?"
54,57622123,2022-10-10 09:58:41+00:00, ,1.57941E+18,en,0,0,1,0,Twitter for Android,"@EmiratesSupport I am still waiting for you to respond to my email.
This had been ongoing for sometime  .."
